group,horizon,total_signals,mature_samples,mean_return,median_return,positive_probability,return_q25,return_q75,best_return,worst_return,mean_max_loss_from_entry,worst_max_loss_from_entry,mean_max_intraday_loss_from_entry,worst_max_intraday_loss_from_entry,mean_max_drawdown,worst_max_drawdown
all_highs,1m,199,199,0.021002844875269235,0.019128034538165695,0.6582914572864321,-0.013119468273294355,0.0517525623314562,0.17173913043478262,-0.11581173982020099,-0.030638902323027864,-0.15358804533536252,,,-0.060352800458497176,-0.15358804533536252
all_highs,3m,199,199,0.03285155865295943,0.03552380037055003,0.6683417085427136,-0.024531331957655722,0.07583655470852513,0.23510257245196997,-0.15850246910336807,-0.04447171336671607,-0.2062677557281255,,,-0.10042452575142864,-0.2062677557281255
all_highs,6m,199,199,0.0885963742929571,0.10999103942652333,0.7738693467336684,0.026054841633925463,0.1710917864381477,0.4618477874936968,-0.2548631445926842,-0.059539085259614384,-0.27430385930630186,,,-0.1357472159169116,-0.27430385930630186
all_highs,1y,199,163,0.23800060418145388,0.24913985023274643,0.7607361963190185,0.014200433202013363,0.4093473224747035,0.7740102058150848,-0.13979496738117425,-0.07272180305509873,-0.32340009770395706,,,-0.16329546001525397,-0.32340009770395706
all_highs,3y,199,99,0.13473941165505612,0.010407172961325761,0.5252525252525253,-0.12588889827528144,0.4634709379294375,0.6970846172078691,-0.31936572857567425,-0.18099637587316394,-0.3692490745637229,,,-0.3088004358048131,-0.37107830213551274
event_20d,1m,16,16,0.034195931761268096,0.01767358575592981,0.625,-0.012013092307955997,0.08621749043552185,0.12150706436420733,-0.034722782066078706,-0.020888203670520564,-0.05049605131113899,,,-0.03474081299525878,-0.07637330142370513
event_20d,3m,16,16,0.07616950947957586,0.07142581174783358,0.875,0.041407518003733323,0.09514850070542441,0.23510257245196997,-0.030971659919028394,-0.023584254874740716,-0.05748987854251009,,,-0.08421782039818868,-0.2062677557281255
event_20d,6m,16,16,0.1303574513650888,0.11614536682072774,0.875,0.0808487402115114,0.17360474622186783,0.4618477874936968,-0.1057535802233589,-0.03248192299815023,-0.1057535802233589,,,-0.11770492344429805,-0.2679538481711813
event_20d,1y,16,14,0.24271654744186158,0.27310388993061896,0.8571428571428571,0.09851399609225042,0.36014759019161446,0.6589508140475826,-0.08145173252332127,-0.04649675750745908,-0.19359534206695783,,,-0.15072980114888201,-0.32340009770395706
event_20d,3y,16,8,0.13951227470249195,0.019756192183711052,0.625,-0.09552007142208824,0.28869940007896794,0.6970846172078691,-0.18990862014301535,-0.14173789330617192,-0.2510204081632653,,,-0.3098936926713248,-0.37107830213551274
event_60d,1m,8,8,0.03739644969422973,0.03303880282028815,0.75,-6.788741337740434e-05,0.08290074804738773,0.08646288209606978,-0.013409239379542082,-0.014240689916391477,-0.04170040485829962,,,-0.03733835165376022,-0.07637330142370513
event_60d,3m,8,8,0.057578202204406626,0.05902603906290704,0.75,0.026842936781934834,0.09514850070542441,0.15916154073676347,-0.030971659919028394,-0.019632792324831783,-0.05748987854251009,,,-0.07823308425175407,-0.1270151441133366
event_60d,6m,8,8,0.10699557078146238,0.11614536682072774,0.875,0.09248921752396888,0.15223825151060538,0.1763721492360979,-0.05211475289323508,-0.025186446614269303,-0.09139409055248382,,,-0.09646115984794601,-0.16536394723986325
event_60d,1y,8,8,0.2698867764351612,0.28791226303923556,0.875,0.15561505165331874,0.38474940729055923,0.6589508140475826,-0.08145173252332127,-0.054811123783942095,-0.19359534206695783,,,-0.1405341302591344,-0.32340009770395706
event_60d,3y,8,5,0.3088862078276253,0.17348178137651815,1.0,0.029105211406096343,0.6343522561863173,0.6970846172078691,0.010407172961325761,-0.09869298320775048,-0.19359534206695783,,,-0.2731829269928121,-0.3655417875032956
