event_id,group,signal_index,signal_date,signal_close,prior_all_time_high,breakout_pct,entry_date,entry_price,is_mature_1m,exit_date_1m,return_1m,max_loss_from_entry_1m,max_intraday_loss_from_entry_1m,max_drawdown_1m,final_value_100k_1m,is_mature_3m,exit_date_3m,return_3m,max_loss_from_entry_3m,max_intraday_loss_from_entry_3m,max_drawdown_3m,final_value_100k_3m,is_mature_6m,exit_date_6m,return_6m,max_loss_from_entry_6m,max_intraday_loss_from_entry_6m,max_drawdown_6m,final_value_100k_6m,is_mature_1y,exit_date_1y,return_1y,max_loss_from_entry_1y,max_intraday_loss_from_entry_1y,max_drawdown_1y,final_value_100k_1y,is_mature_3y,exit_date_3y,return_3y,max_loss_from_entry_3y,max_intraday_loss_from_entry_3y,max_drawdown_3y,final_value_100k_3y,worst_underwater_date,recovery_date,recovery_trading_days,recovery_days_after_trough,first_recovery_date,first_recovery_days_from_entry,recovery_status
E001773,event_60d,10055,2008-01-03,865.35,843.0,0.026512455516014333,2008-01-04,858.75,True,2008-02-01,0.08646288209606978,-0.0014556040756914523,,-0.05430608886450905,108646.28820960698,True,2008-04-03,0.045997088791848606,-0.0014556040756914523,,-0.1270151441133366,104599.70887918487,True,2008-07-03,0.09432314410480358,-0.005240174672489051,,-0.16536394723986325,109432.31441048037,True,2008-12-31,0.00727802037845704,-0.19359534206695783,,-0.32340009770395706,100727.8020378457,True,2010-12-29,0.6343522561863173,-0.19359534206695783,,-0.32340009770395706,163435.22561863172,2008-10-24,2008-12-18,47.0,39.0,2008-01-08,2.0,recovered
E004951,event_60d,13220,2020-07-24,1901.24207809,1896.5,0.0025004366411811585,2020-07-27,1957.2719081249,True,2020-08-24,-0.013409239379542082,-0.023402081250469275,,-0.07637330142370513,98659.07606204579,True,2020-10-22,-0.026895195068594724,-0.05074942683378125,,-0.102237311607427,97310.48049314052,True,2021-01-25,-0.05211475289323508,-0.09139409055248382,,-0.14067738591489343,94788.52471067649,True,2021-07-26,-0.08145173252332127,-0.14003634051539737,,-0.1866812528923032,91854.82674766787,True,2023-07-27,0.010407172961325761,-0.1692161283567888,,-0.21427831263579555,101040.71729613257,2022-10-20,2023-03-17,229.0,101.0,2020-08-13,13.0,recovered
E002374,event_60d,10650,2010-05-12,1241.25,1218.25,0.018879540324235666,2010-05-13,1235.0,True,2010-06-11,-0.01174089068825912,-0.04170040485829962,,-0.044601412714429856,98825.91093117409,True,2010-08-10,-0.030971659919028394,-0.05748987854251009,,-0.07582373957919808,96902.83400809715,True,2010-11-08,0.1255060728744939,-0.05748987854251009,,-0.07582373957919808,112550.60728744938,True,2011-05-12,0.2050607287449393,-0.05748987854251009,,-0.07713884992987374,120506.07287449393,True,2013-05-10,0.17348178137651815,-0.05748987854251009,,-0.27339836540996576,117348.17813765182,2015-12-17,2016-02-11,253.0,37.0,2010-06-08,17.0,recovered
E005800,event_60d,14066,2023-12-04,2085.5400954468,2069.5240564701,0.007738996281114963,2023-12-05,2035.1358056299,True,2024-01-04,0.0038231136782498343,-0.02769452087456903,,-0.02769452087456903,100382.31136782498,True,2024-03-06,0.04475564739877802,-0.02769452087456903,,-0.04283025579149413,104475.56473987781,True,2024-06-05,0.14542357583065457,-0.02769452087456903,,-0.05159609168203516,114542.35758306546,True,2024-12-04,0.29874464933042666,-0.02769452087456903,,-0.07854489919018426,129874.46493304266,False,,,,,,,2023-12-13,2023-12-20,10.0,5.0,2023-12-20,11.0,recovered
E002222,event_60d,10501,2009-10-07,1047.0,1023.5,0.022960429897410872,2009-10-08,1054.75,True,2009-11-05,0.031524057833609787,-0.01967290827210244,,-0.030018761726078758,103152.40578336098,True,2010-01-07,0.07205498933396548,-0.01967290827210244,,-0.11307202955058482,107205.49893339655,True,2010-04-08,0.08698743778146478,-0.01967290827210244,,-0.13626103016622204,108698.74377814648,True,2010-10-06,0.27707987674804446,-0.01967290827210244,,-0.13626103016622204,127707.98767480445,True,2012-10-05,0.6970846172078691,-0.01967290827210244,,-0.18929607171104668,169708.4617207869,2009-10-29,2009-11-03,5.0,3.0,2009-10-13,3.0,recovered
E002464,event_60d,10738,2010-09-15,1270.4,1259.5,0.008654227868201803,2010-09-16,1271.25,True,2010-10-14,0.0861356932153392,0.0,,-0.02133137182787792,108613.56932153393,True,2010-12-13,0.09203539823008855,0.0,,-0.05631067961165048,109203.53982300886,True,2011-03-15,0.10678466076696158,0.0,,-0.07713884992987374,110678.46607669616,True,2011-09-15,0.4206489675516225,0.0,,-0.09011396766498803,142064.89675516225,True,2013-09-13,0.029105211406096343,-0.053490658800393276,,-0.3655417875032956,102910.52114060964,2015-12-17,2016-03-10,277.0,56.0,2013-07-11,710.0,recovered
E005865,event_60d,14128,2024-03-05,2111.4316498959,2085.5400954468,0.01241479581506355,2024-03-06,2126.2196261553,True,2024-04-04,0.0818224329914039,0.0,,-0.01616584075107219,108182.24329914039,True,2024-06-04,0.10448780813143199,0.0,,-0.05159609168203516,110448.7808131432,True,2024-09-04,0.1726822785504578,0.0,,-0.05565240137014238,117268.22785504578,True,2025-03-06,0.37278288720353814,0.0,,-0.07854489919018426,137278.28872035383,False,,,,,,,,2024-03-06,0.0,0.0,2024-03-06,0.0,never_closed_below_entry
E006098,event_60d,14357,2025-01-31,2797.2951275035,2785.5595478814,0.0042130061915302,2025-02-03,2794.818406674,True,2025-03-04,0.03455354780696651,0.0,,-0.028215515047839812,103455.35478069665,True,2025-05-02,0.15916154073676347,0.0,,-0.05697942207830631,115916.15407367634,True,2025-08-01,0.1763721492360979,0.0,,-0.06917583290134,117637.21492360979,True,2026-02-02,0.6589508140475826,0.0,,-0.15358804533536252,165895.08140475827,False,,,,,,,,2025-02-03,0.0,0.0,2025-02-03,0.0,never_closed_below_entry
