date,close,currency,unit,benchmark,source
1968-11-20,40.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-21,40.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-22,40.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-25,40.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-26,40.075,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-27,39.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-28,39.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-29,39.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-02,39.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-03,40.15,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-04,40.775,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-05,40.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-06,40.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-09,40.625,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-10,40.675,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-11,40.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-12,41.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-13,40.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-16,40.975,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-17,41.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-18,41.825,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-19,41.675,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-20,41.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-23,41.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-24,41.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-27,41.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-30,42.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-12-31,41.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-02,41.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-03,41.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-06,42.025,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-07,42.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-08,42.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-09,42.475,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-10,42.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-13,42.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-14,42.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-15,42.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-16,42.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-17,41.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-20,42.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-21,42.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-22,42.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-23,42.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-24,42.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-27,42.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-28,42.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-29,42.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-30,42.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-01-31,42.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-03,42.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-04,42.475,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-05,42.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-06,42.625,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-07,42.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-10,42.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-11,42.525,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-12,42.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-13,42.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-14,42.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-17,42.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-18,42.625,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-19,42.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-20,42.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-21,42.625,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-24,42.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-25,42.675,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-26,42.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-27,42.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-02-28,42.775,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-03,42.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-04,42.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-05,42.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-06,43.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-07,43.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-10,43.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-11,43.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-12,43.025,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-13,43.15,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-14,43.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-17,43.025,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-18,42.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-19,43.075,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-20,43.125,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-21,43.175,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-24,43.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-25,43.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-26,43.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-27,43.475,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-28,43.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-03-31,43.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-01,43.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-02,43.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-03,43.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-08,43.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-09,43.375,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
