group,horizon,mean_return_group,mean_return_ordinary,mean_return_difference,median_return_group,median_return_ordinary,median_return_difference,positive_probability_group,positive_probability_ordinary,positive_probability_difference,mean_max_loss_from_entry_group,mean_max_loss_from_entry_ordinary,mean_max_loss_from_entry_difference
all_highs,1m,0.021002844875269235,0.009379523885937529,0.011623320989331706,0.019128034538165695,0.007528905619790249,0.011599128918375445,0.6582914572864321,0.5670350792888035,0.09125637799762865,-0.030638902323027864,-0.025319910492698036,-0.005318991830329828
all_highs,3m,0.03285155865295943,0.030143462714126296,0.002708095938833137,0.03552380037055003,0.027382480915312923,0.008141319455237106,0.6683417085427136,0.639412997903564,0.02892871063914959,-0.04447171336671607,-0.042268910771116615,-0.0022028025955994554
all_highs,6m,0.0885963742929571,0.0629153995869376,0.025680974706019488,0.10999103942652333,0.057997790121373516,0.05199324930514981,0.7738693467336684,0.7113066145324209,0.06256273220124742,-0.059539085259614384,-0.05355073174548585,-0.005988353514128533
all_highs,1y,0.23800060418145388,0.12945471559724342,0.10854588858421046,0.24913985023274643,0.113704978140446,0.13543487209230043,0.7607361963190185,0.7504960317460317,0.01024016457298671,-0.07272180305509873,-0.06690846694102434,-0.005813336114074391
all_highs,3y,0.13473941165505612,0.41679686881547306,-0.28205745716041697,0.010407172961325761,0.4434914311857395,-0.43308425822441377,0.5252525252525253,0.8350570613409415,-0.3098045360884162,-0.18099637587316394,-0.09455842406186293,-0.08643795181130101
event_20d,1m,0.034195931761268096,0.009379523885937529,0.024816407875330567,0.01767358575592981,0.007528905619790249,0.010144680136139561,0.625,0.5670350792888035,0.05796492071119652,-0.020888203670520564,-0.025319910492698036,0.0044317068221774725
event_20d,3m,0.07616950947957586,0.030143462714126296,0.046026046765449566,0.07142581174783358,0.027382480915312923,0.044043330832520655,0.875,0.639412997903564,0.23558700209643602,-0.023584254874740716,-0.042268910771116615,0.0186846558963759
event_20d,6m,0.1303574513650888,0.0629153995869376,0.0674420517781512,0.11614536682072774,0.057997790121373516,0.05814757669935422,0.875,0.7113066145324209,0.16369338546757906,-0.03248192299815023,-0.05355073174548585,0.02106880874733562
event_20d,1y,0.24271654744186158,0.12945471559724342,0.11326183184461816,0.27310388993061896,0.113704978140446,0.15939891179017296,0.8571428571428571,0.7504960317460317,0.10664682539682535,-0.04649675750745908,-0.06690846694102434,0.02041170943356526
event_20d,3y,0.13951227470249195,0.41679686881547306,-0.2772845941129811,0.019756192183711052,0.4434914311857395,-0.4237352390020285,0.625,0.8350570613409415,-0.2100570613409415,-0.14173789330617192,-0.09455842406186293,-0.04717946924430899
event_60d,1m,0.03739644969422973,0.009379523885937529,0.0280169258082922,0.03303880282028815,0.007528905619790249,0.0255098972004979,0.75,0.5670350792888035,0.18296492071119652,-0.014240689916391477,-0.025319910492698036,0.011079220576306559
event_60d,3m,0.057578202204406626,0.030143462714126296,0.02743473949028033,0.05902603906290704,0.027382480915312923,0.03164355814759412,0.75,0.639412997903564,0.11058700209643602,-0.019632792324831783,-0.042268910771116615,0.022636118446284832
event_60d,6m,0.10699557078146238,0.0629153995869376,0.04408017119452477,0.11614536682072774,0.057997790121373516,0.05814757669935422,0.875,0.7113066145324209,0.16369338546757906,-0.025186446614269303,-0.05355073174548585,0.028364285131216548
event_60d,1y,0.2698867764351612,0.12945471559724342,0.14043206083791776,0.28791226303923556,0.113704978140446,0.17420728489878956,0.875,0.7504960317460317,0.12450396825396826,-0.054811123783942095,-0.06690846694102434,0.012097343157082247
event_60d,3y,0.3088862078276253,0.41679686881547306,-0.10791066098784774,0.17348178137651815,0.4434914311857395,-0.2700096498092214,1.0,0.8350570613409415,0.1649429386590585,-0.09869298320775048,-0.09455842406186293,-0.004134559145887548
event_120d,1m,0.02710020355709683,0.009379523885937529,0.0177206796711593,0.01767358575592981,0.007528905619790249,0.010144680136139561,0.75,0.5670350792888035,0.18296492071119652,-0.01805627861820805,-0.025319910492698036,0.007263631874489987
event_120d,3m,0.033978132613999346,0.030143462714126296,0.00383466989987305,0.04537636809531331,0.027382480915312923,0.01799388718000039,0.75,0.639412997903564,0.11058700209643602,-0.024893115014036044,-0.042268910771116615,0.01737579575708057
event_120d,6m,0.06865485120592196,0.0629153995869376,0.005739451618984356,0.09065529094313418,0.057997790121373516,0.032657500821760665,0.75,0.7113066145324209,0.038693385467579056,-0.036000423592911085,-0.05355073174548585,0.017550308152574766
event_120d,1y,0.12541270348340172,0.12945471559724342,-0.0040420121138416976,0.14217894856325075,0.113704978140446,0.02847397042280475,0.75,0.7504960317460317,-0.0004960317460317443,-0.09524977793225667,-0.06690846694102434,-0.028341310991232327
event_120d,3y,0.44728134878517073,0.41679686881547306,0.030484479969697664,0.6343522561863173,0.4434914311857395,0.19086082500057777,1.0,0.8350570613409415,0.1649429386590585,-0.12749479289861634,-0.09455842406186293,-0.03293636883675341
